"","SpecCode","predator.name","gbif.taxon.id","dietary.niche.width","Cnidaria.other","Anthozoa","Annelida.other","Polychaeta","Clitellata","Mollusca.other","Polyplacophora","Bivalvia","Gastropoda","Cephalopoda","Brachiopoda.other","Arthropoda.other","Ostracoda","Maxillopoda","Malacostraca","Insecta","Echinodermata.other","Ophiuroidea","Echinoidea","Holothuroidea","Chordata.other","Actinopterygii","Chondrichthyes","Amphibia","Reptilia","Aves","Mammalia","Plantae.other","Animalia.other","Marine","Freshwater","DietTroph","DietSeTroph","FoodTroph","FoodSeTroph","gbif.taxon.occ.count","OCClog","DNW","DNWcorr","biome"
"1:27",39,"Aphia minuta",2378526,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-1",0,"null","null","3.1","0.28",1040,6.94697599213542,0.0740740740740741,-0.0910268553424207,"Marine"
"1:28",40,"Argyropelecus affinis",2347596,4,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,"-1",0,"null","null","3.09","0.19",2161,7.67832635650689,0.148148148148148,-0.0645853500819077,"Marine"
"1:29",41,"Arnoglossus laterna",2408554,10,0,0,0,1,0,1,0,0,1,0,0,0,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,"-1",0,"3.59","0.26","3.49000001","0.4666",1495,7.30988148582479,0.37037037037037,0.182662666053536,"Marine"
"1:30",42,"Arnoglossus imperialis",2408575,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"-1",0,"null","null","3.84","0.6",883,6.78332520060396,0.111111111111111,-0.0465094407430151,"Marine"
"1:31",44,"Chelidonichthys cuculus",2336745,13,1,0,0,1,0,1,0,1,1,1,0,1,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1,"-1",0,"3.81","0.103","3.6","0.73",767,6.64248680136726,0.481481481481481,0.328884163197061,"Marine"
"1:32",46,"Melanolagus bericoides",2410934,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"-1",0,"null","null","3.4","0.45",508,6.23048144757848,0.037037037037037,-0.104555708403834,"Marine"
"1:33",47,"Belone belone",2369178,14,0,0,0,1,0,1,0,1,1,0,0,1,0,1,1,1,0,0,0,0,1,1,0,0,1,1,0,1,1,"-1",0,"4.16","0.366","4.5","0.8",13932,9.54194363148589,0.518518518518518,0.166931860191946,"Marine"
"1:34",48,"Parablennius gattorugine",2395767,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,"-1",0,"3.59","null","2.72","0.24",4120,8.32360844234357,0.185185185185185,-0.0592101850708552,"Marine"
"1:35",49,"Blennius ocellaris",2395359,6,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,"-1",0,"null","null","3.49","0.43",420,6.04025471127741,0.222222222222222,0.0860688088472902,"Marine"
"1:36",53,"Buglossidium luteum",2409909,8,0,0,0,1,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,"-1",0,"null","null","3.31","0.42",829,6.7202201551353,0.296296296296296,0.141071177570195,"Marine"
"1:37",54,"Capros aper",2389708,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,"-1",0,"3.14","0.3","3.2","0.39",1587,7.36960072052641,0.148148148148148,-0.0437432481333269,"Marine"
"1:38",56,"Cepola macrophthalma",2379498,7,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,"-1",0,"null","null","3.130000114","0.2332",1193,7.08422642209792,0.259259259259259,0.0864409754485115,"Marine"
"1:39",57,"Chirolophis ascanii",2394936,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"-1",0,"null","null","3.23","0.36",445,6.09807428216624,0.148148148148148,0.0102431003108077,"Marine"
"1:40",58,"Coris julis",5209780,8,0,0,0,1,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,"-1",0,"3.44","0.111","3.24000001","0.4291",2845,7.95331834656043,0.296296296296296,0.0684103871488847,"Marine"
"1:41",59,"Symphodus melops",2383978,13,1,0,0,1,0,1,0,1,1,0,0,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,1,"-1",0,"3.38","0.14","3.32","0.52",8164,9.00748952392973,0.481481481481481,0.190720983415023,"Marine"
"1:42",60,"Crystallogobius linearis",2376212,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"-1",0,"null","null","3.4","0.45",154,5.03695260241363,0.0740740740740741,-0.0269445785397741,"Marine"
"1:43",61,"Ctenolabrus rupestris",2383163,11,0,0,0,1,0,1,0,1,1,0,0,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,"-1",0,"3.58","0.153","3.5","0.49",13475,9.5085913957772,0.407407407407407,0.059866273430901,"Marine"
"1:44",62,"Cyclopterus lumpus",5962255,10,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,1,1,"-1",0,"3.89","null","3.64","0.43",9218,9.12891337328045,0.37037037037037,0.0671909031920485,"Marine"
"1:45",64,"Diplecogaster bimaculata",4284472,11,0,0,0,1,0,1,0,1,1,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,"-1",0,"3.39","0.279","3.25","0.4",416,6.03068526026126,0.407407407407407,0.271552925493302,"Marine"
"1:46",65,"Echiodon drummondii",2346502,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"-1",0,"null","null","4.03","0.65",122,4.80402104473326,0.037037037037037,-0.0585569031580549,"Marine"
"1:47",67,"Entelurus aequoreus",2333112,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"-1",0,"null","null","3.539999962","0.4397",1181,7.07411681619736,0.037037037037037,-0.13517113617615,"Marine"
"1:48",68,"Eutrigla gurnardus",2336597,18,0,0,1,1,0,1,0,1,1,1,0,1,0,1,1,1,1,1,1,0,1,1,0,0,1,0,0,1,1,"-1",0,"3.87","0.013","4.37","0.0101",2075,7.6377164326648,0.666666666666667,0.456490674248068,"Marine"
"1:49",69,"Gadus morhua",8084280,25,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,"-1",0,"4.09","0.179","4.29","1",80654,11.2979236793476,0.925925925925926,0.503762947677173,"Marine"
"1:50",72,"Gobius niger",2375526,7,0,0,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,"-1",0,"3.31","0.198","3.359999895","0.4461",5863,8.67641669696422,0.259259259259259,-0.00432513226255943,"Marine"
"1:51",73,"Gobius paganellus",8196993,10,0,0,0,1,0,1,0,1,0,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,"-1",0,"null","null","3.299999952","0.4531",1195,7.08590146436561,0.37037037037037,0.197450406965547,"Marine"
"1:52",75,"Gymnammodytes semisquamatus",2390000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"-1",0,"null","null","2.68","0.3",95,4.55387689160054,0.037037037037037,-0.0541562415140971,"Marine"
"1:53",76,"Helicolenus dactylopterus",4286361,13,1,1,0,1,0,1,0,1,0,1,0,0,0,0,1,0,1,1,0,1,1,1,0,0,0,0,0,0,1,"-1",0,"3.54","null","3.8","0.58",9382,9.1465482388884,0.481481481481481,0.176401673246125,"Marine"
"1:54",77,"Istiophorus platypterus",5211984,11,0,0,1,0,0,0,0,0,1,1,0,1,0,1,1,1,0,0,0,0,1,1,0,0,0,0,1,0,1,"-1",0,"4.5","0.335","4.5","0.79",2373,7.77191025643576,0.407407407407407,0.189089425518167,"Marine"
"1:55",78,"Istiophorus albicans",5211975,3,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"-1",0,"4.5","0.421","4.420000076","0.73",741,6.60800062529609,0.111111111111111,-0.0404185168399735,"Marine"
"1:56",81,"Aphareus furca",5209911,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"-1",0,"null","null","4.14","0.73",538,6.28785856016178,0.037037037037037,-0.106044464873441,"Marine"
"1:57",83,"Aphareus rutilans",5209907,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-1",0,"null","null","4.11","0.57",226,5.42053499927229,0.037037037037037,-0.0763790997405215,"Marine"
"1:58",84,"Aprion virescens",2385226,7,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,"-1",0,"4.28","0.418","3.98","0.6",1205,7.09423484592476,0.259259259259259,0.085830974177637,"Marine"
"1:59",85,"Apsilus dentatus",5209891,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"-1",0,"null","null","4.08","0.52",73,4.29045944114839,0.0740740740740741,-0.013265365962648,"Marine"
"1:60",86,"Apsilus fuscus",5209890,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-1",0,"null","null","3.99000001","0.5843",699,6.54965074223381,0.0740740740740741,-0.0757611189898392,"Marine"
"1:61",87,"Etelis carbunculus",2385134,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,"-1",0,"4.49","0.77","3.99","0.62",354,5.86929691313377,0.185185185185185,0.0547499502812144,"Marine"
"1:62",88,"Lamna nasus",5216239,9,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,1,1,"-1",0,"4.57","null","4.36","0.69",615,6.42162226780652,0.333333333333333,0.186879671088463,"Marine"
"1:63",89,"Acanthocybium solandri",2374069,8,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,"-1",0,"4.26","0.198","4.420000076","0.9249",5867,8.67709870892586,0.296296296296296,0.0326662132609367,"Marine"
"1:64",90,"Cetorhinus maximus",2420726,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,"-1",0,"3.2","0.3","3.31","0.32",2771,7.92696354486298,0.185185185185185,-0.0414075691204815,"Marine"
"1:65",91,"Allothunnus fallai",2373913,11,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,"-1",0,"3.7","0.121","3.77","0.67",80,4.38202663467388,0.407407407407407,0.318763151313915,"Marine"
"1:66",92,"Acanthostracion quadricornis",2408197,9,0,1,1,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,"-1",0,"2.68","0.182","3.77","0.32",1930,7.56527528189893,0.333333333333333,0.127897840490485,"Marine"
"1:67",93,"Auxis rochei",4286088,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,"-1",0,"null","null","4.27","0.67",1179,7.07242190053737,0.111111111111111,-0.0609953798164447,"Marine"
"1:68",94,"Auxis thazard",4286082,5,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"-1",0,"4.37","0.38","4.360000134","0.7317",5658,8.64082575186151,0.185185185185185,-0.0760700564340246,"Marine"
"1:69",96,"Euthynnus affinis",5208561,7,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,"-1",0,"4.5","null","4.47","0.8",2728,7.91132401896335,0.259259259259259,0.0334483527845472,"Marine"
"1:70",97,"Euthynnus alletteratus",5208565,14,0,0,0,1,0,1,0,1,1,1,0,0,0,0,1,1,1,0,1,0,1,1,0,0,0,0,1,1,1,"-1",0,"4.49","null","3.98","0.6",1528,7.33171496972647,0.518518518518518,0.329285655129891,"Marine"
"1:71",99,"Alepisaurus ferox",2401692,11,1,0,0,1,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,"-1",0,"4.03","0.179","4.39","0.98",4519,8.41604600941128,0.407407407407407,0.158681212157539,"Marine"
"1:72",100,"Gasterochisma melampus",2374226,5,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,"-1",0,"null","null","4.35","0.57",108,4.68213122712422,0.185185185185185,0.0918785190405495,"Marine"
"1:73",104,"Grammatorcynus bilineatus",5208588,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"-1",0,"null","null","4.179999828","0.6904",141,4.94875989037817,0.037037037037037,-0.0617446858047362,"Marine"
"1:74",106,"Gymnosarda unicolor",2374086,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"-1",0,"null","null","4.5","0.75",256,5.54517744447956,0.0740740740740741,-0.0440706532645089,"Marine"
"1:75",107,"Katsuwonus pelamis",2374191,4,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"-1",0,"4.43","0.474","4.03","0.64",13743,9.52828488255485,0.148148148148148,-0.201782993856999,"Marine"
"1:76",108,"Orcynopsis unicolor",2373921,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,"-1",0,"null","null","4.5","0.8",502,6.21860011969173,0.0740740740740741,-0.0672036373693817,"Marine"
"1:77",109,"Rastrelliger brachysoma",2374336,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"-1",0,"null","null","2.72","0.31",305,5.72031177660741,0.037037037037037,-0.0878749668906404,"Marine"
"1:78",110,"Rastrelliger faughni",2374337,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"-1",0,"null","null","3.4","0.45",73,4.29045944114839,0.037037037037037,-0.0503024029996851,"Marine"
"1:79",111,"Rastrelliger kanagurta",2374317,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,"-1",0,"null","null","3.190000057","0.3788",1678,7.42535788702715,0.0740740740740741,-0.121734908818673,"Marine"
"1:80",112,"Sarda australis",5208599,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"-1",0,"null","null","4.5","0.8",249,5.51745289646471,0.037037037037037,-0.080040966673002,"Marine"
"1:81",113,"Sarda chiliensis",5712278,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"-1",0,"4.49","0.323","4.5","0.72",172,5.14749447681345,0.111111111111111,0.00695062743680749,"Marine"
"1:82",114,"Sarda orientalis",5208602,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"-1",0,"null","null","4.210000038","0.6859",1362,7.21670948670946,0.0740740740740741,-0.107243792291448,"Marine"
"1:83",115,"Sarda sarda",5208593,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"-1",0,"4.5","null","4.34","0.83",3047,8.02191277898571,0.111111111111111,-0.120011283448552,"Marine"
"1:84",116,"Scomber australasicus",2374156,7,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,"-1",0,"4.23","0.49","4.079999924","0.55",3555,8.17611034223734,0.259259259259259,0.021322056077847,"Marine"
"1:85",117,"Scomber japonicus",7599552,11,1,0,0,1,0,1,0,0,1,1,0,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,"-1",0,"3.38","0.104","3.42","0.46",28649,10.2628738175198,0.407407407407407,-0.014734630407077,"Marine"
"1:86",118,"Scomber scombrus",2374149,22,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,0,0,1,1,0,1,1,"-1",0,"3.63","0.178","3.73","0.57",9766,9.1866622446216,0.814814814814815,0.505329973696785,"Marine"
"1:87",119,"Scomberomorus brasiliensis",2374270,5,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,"-1",0,"3.31","0.42","4.37","0.76",170,5.13579843705026,0.185185185185185,0.0813749958177127,"Marine"
"1:88",120,"Scomberomorus cavalla",2374282,12,0,1,1,0,0,1,0,0,1,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0,1,1,"-1",0,"4.42","0.291","4.43","0.77",780,6.65929391968364,0.444444444444444,0.291306284896862,"Marine"
"1:89",121,"Scomberomorus commerson",2374255,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,"-1",0,"4.5","0.4","4.380000114","0.74",16010,9.68096880599076,0.111111111111111,-0.257082125033695,"Marine"
"1:90",126,"Scomberomorus maculatus",2374268,7,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,"-1",0,"4.53","0.53","4.35","0.7",1001,6.90875477931522,0.259259259259259,0.0960761068356224,"Marine"
"1:91",129,"Scomberomorus munroi",2374281,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"-1",0,"null","null","4.32","0.76",500,6.21460809842219,0.037037037037037,-0.104134224015062,"Marine"
"1:92",130,"Argyropelecus aculeatus",2347579,7,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,"-1",0,"3.67","0.17","3.71","0.47",3164,8.05959232888755,0.259259259259259,0.0264261445932884,"Marine"
"1:93",131,"Scomberomorus niphonius",2374296,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"-1",0,"null","null","4.5","0.8",106,4.66343909411207,0.037037037037037,-0.0559453508798246,"Marine"
"1:94",133,"Scomberomorus queenslandicus",2374254,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"-1",0,"4.5","0.79","4.389999866","0.7",1729,7.45529848568329,0.111111111111111,-0.0867921758422449,"Marine"
"1:95",134,"Scomberomorus regalis",2374249,5,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,"-1",0,"4.51","0.351","4.38","0.73",584,6.36990098282823,0.185185185185185,0.0400333274571877,"Marine"
"1:96",135,"Scomberomorus semifasciatus",2374273,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"-1",0,"null","null","4.5","0.8",412,6.02102334934953,0.037037037037037,-0.0985130017629681,"Marine"
